product,depth_ticks,alpha,final_pnl,mean_increment,vol_increment,sharpe_empirical,portfolio_value_vol,inventory_final
EMERALDS,-1.7551020408163265,0.02,11302.0,0.5651,13.155776753578635,0.04295451424761229,3218.120180577459,-20.0
EMERALDS,-1.7551020408163265,0.04,11330.0,0.5665,13.162464729297472,0.04303905170124138,3223.0641351389017,-20.0
EMERALDS,-1.7551020408163265,0.06,11222.0,0.5611,13.148671673975285,0.04267351211686014,3186.76202962331,-20.0
EMERALDS,-1.7551020408163265,0.08,11021.0,0.55105,12.498771695550728,0.044088332311579145,3117.9728933061365,-19.0
EMERALDS,-1.7551020408163265,0.1,10725.0,0.53625,11.81725797033728,0.04537854732003407,3024.4045412623605,-18.0
EMERALDS,-1.7551020408163265,0.12,10397.0,0.51985,10.472626508068545,0.04963893246832455,2938.427157932282,-14.0
EMERALDS,-1.7551020408163265,0.14,9762.0,0.4881,9.595741680037035,0.050866313024603656,2752.564910928262,-12.0
EMERALDS,-1.7551020408163265,0.16,9592.0,0.4796,8.927417534763343,0.053722142840573854,2704.1560049099935,-11.0
EMERALDS,-1.7551020408163265,0.18,9192.0,0.4596,8.348105643797279,0.05505440630611654,2555.1190031409647,-13.0
EMERALDS,-1.7551020408163265,0.2,8970.0,0.4485,8.311404679715698,0.053961997674662796,2493.1227461866993,-13.0
EMERALDS,-1.7551020408163265,0.22,8819.0,0.44095,7.813412384963436,0.056435009221910346,2470.5183509612707,-9.0
EMERALDS,-1.7551020408163265,0.24,8804.0,0.4402,7.8117298954841,0.05635115472367729,2466.95984228402,-9.0
EMERALDS,-1.7551020408163265,0.26,8186.0,0.4093,7.067734680221096,0.057911058991138596,2267.9703167944986,-8.0
EMERALDS,-1.7551020408163265,0.28,8150.0,0.4075,7.0647111582852435,0.057681056007802725,2259.544747638448,-8.0
EMERALDS,-1.7551020408163265,0.3,8003.0,0.40015,7.036123220744503,0.05687080618773751,2211.1860477463892,-8.0
EMERALDS,-1.7551020408163265,0.32,7555.0,0.37775,6.723619184449697,0.0561825394385297,2134.3999846792535,-8.0
EMERALDS,-1.7551020408163265,0.34,7555.0,0.37775,6.723619184449697,0.0561825394385297,2134.3999846792535,-8.0
EMERALDS,-1.7551020408163265,0.36,7310.0,0.3655,6.685178363364735,0.05467318598453059,2058.6421307468177,-8.0
EMERALDS,-1.7551020408163265,0.38,7193.0,0.35965,6.659579707271322,0.054004909590212265,2020.1582210214106,-8.0
EMERALDS,-1.7551020408163265,0.4,7112.0,0.3556,6.64789054061512,0.05349065208391606,1999.7083553536402,-8.0
EMERALDS,-1.7551020408163265,0.42,6476.0,0.3238,5.813531935063228,0.055697638478092976,1805.7727795226888,-8.0
EMERALDS,-1.7551020408163265,0.44,6308.0,0.3154,5.77693888144924,0.054596388584411806,1753.8097121417643,-8.0
EMERALDS,-1.7551020408163265,0.46,6198.0,0.3099,5.758355840862911,0.053817445216022004,1719.315349877735,-8.0
EMERALDS,-1.7551020408163265,0.48,6150.0,0.3075,5.755071133357085,0.0534311380128202,1706.4721480731637,-8.0
EMERALDS,-1.7551020408163265,0.5,6150.0,0.3075,5.755071133357085,0.0534311380128202,1706.4721480731637,-8.0
EMERALDS,-1.7551020408163265,0.52,6150.0,0.3075,5.755071133357085,0.0534311380128202,1706.4721480731637,-8.0
EMERALDS,-1.7551020408163265,0.54,6019.0,0.30095,5.738220900026419,0.052446569283976924,1674.8222426048683,-8.0
EMERALDS,-1.7551020408163265,0.56,5883.0,0.29415,5.714370112050846,0.0514754897271489,1637.0806036827844,-8.0
EMERALDS,-1.7551020408163265,0.58,5875.0,0.29375,5.714241939006433,0.05140664380953319,1635.647531061224,-8.0
EMERALDS,-1.7551020408163265,0.6,5667.0,0.28335,5.67634237669822,0.049917707776608304,1579.9629358656614,-8.0
EMERALDS,-1.7551020408163265,0.62,5667.0,0.28335,5.67634237669822,0.049917707776608304,1579.9629358656614,-8.0
EMERALDS,-1.7551020408163265,0.64,5096.0,0.2548,5.210611956382858,0.04890020637362506,1445.1638533185355,-5.0
EMERALDS,-1.7551020408163265,0.66,5096.0,0.2548,5.210611956382858,0.04890020637362506,1445.1638533185355,-5.0
EMERALDS,-1.7551020408163265,0.68,5038.0,0.2519,5.204175860787181,0.04840343730465283,1431.8510328779876,-5.0
EMERALDS,-1.7551020408163265,0.7,4841.0,0.24205,5.164403334122927,0.04686891869980319,1372.2516317861493,-5.0
EMERALDS,-1.7551020408163265,0.72,4810.0,0.2405,5.16362854492846,0.046575774749756334,1362.9448733459142,-5.0
EMERALDS,-1.7551020408163265,0.74,4810.0,0.2405,5.16362854492846,0.046575774749756334,1362.9448733459142,-5.0
EMERALDS,-1.7551020408163265,0.76,4569.0,0.22845,5.119449247477701,0.04462394077108097,1289.9910949367054,-5.0
EMERALDS,-1.7551020408163265,0.78,4569.0,0.22845,5.119449247477701,0.04462394077108097,1289.9910949367054,-5.0
EMERALDS,-1.7551020408163265,0.8,4487.0,0.22435,5.112564628197868,0.04388208586403363,1266.1883926468288,-5.0
EMERALDS,-1.7551020408163265,0.82,4487.0,0.22435,5.112564628197868,0.04388208586403363,1266.1883926468288,-5.0
EMERALDS,-1.7551020408163265,0.84,4429.0,0.22145,5.109178984680415,0.043343558850454315,1252.8850452942352,-5.0
EMERALDS,-1.7551020408163265,0.86,4398.0,0.2199,5.110102150642392,0.04303240786925489,1243.579741505786,-5.0
EMERALDS,-1.7551020408163265,0.88,4190.0,0.2095,5.066163217860238,0.04135279322652481,1189.2451596242677,-5.0
EMERALDS,-1.7551020408163265,0.9,4190.0,0.2095,5.066163217860238,0.04135279322652481,1189.2451596242677,-5.0
EMERALDS,-1.7551020408163265,0.92,3974.0,0.1987,5.022202535740668,0.039564314379188205,1131.3648209462224,-5.0
EMERALDS,-1.7551020408163265,0.94,3777.0,0.18885,4.993294070801358,0.03782072462030902,1071.742044644222,-5.0
EMERALDS,-1.7551020408163265,0.96,3583.0,0.17915,4.98317722718147,0.035950958963048736,1012.7675056131972,-5.0
EMERALDS,-1.7551020408163265,0.98,3476.0,0.1738,4.989568474327214,0.034832671581570974,984.0633169017619,-5.0
EMERALDS,-1.7551020408163265,1.0,3476.0,0.1738,4.989568474327214,0.034832671581570974,984.0633169017619,-5.0
EMERALDS,-1.6734693877551021,0.0,11116.0,0.5558,13.138427849632544,0.04230338716024875,3160.9119879144355,-20.0
EMERALDS,-1.6734693877551021,0.02,11459.0,0.57295,13.177973224191192,0.043477854314365946,3268.2418756943785,-20.0
EMERALDS,-1.6734693877551021,0.04,11631.0,0.58155,13.198638172080484,0.044061363939059406,3317.767687590293,-20.0
EMERALDS,-1.6734693877551021,0.06,11443.0,0.57215,13.17963938723287,0.04341165817892122,3248.3554857711847,-20.0
EMERALDS,-1.6734693877551021,0.08,11062.0,0.5531,12.044068265748082,0.04592302100885226,3124.6045716281346,-19.0
EMERALDS,-1.6734693877551021,0.1,10644.0,0.5322,10.883118264541647,0.04890142577371084,2995.7159390881734,-15.0
EMERALDS,-1.6734693877551021,0.12,10355.0,0.51775,10.167707949066005,0.050921014115827355,2913.922167811625,-14.0
EMERALDS,-1.6734693877551021,0.14,9798.0,0.4899,9.600291557551781,0.05102970019849396,2763.397809771695,-12.0
EMERALDS,-1.6734693877551021,0.16,9679.0,0.48395,8.941137645596337,0.054126221872711426,2728.3979828499173,-11.0
EMERALDS,-1.6734693877551021,0.18,9342.0,0.4671,8.37416369496083,0.05577870424017128,2594.453698337419,-13.0
EMERALDS,-1.6734693877551021,0.2,9191.0,0.45955,7.8826495417150175,0.05829892570614224,2572.736937205979,-9.0
EMERALDS,-1.6734693877551021,0.22,9015.0,0.45075,7.852507525465989,0.057402046230226475,2521.4632178796005,-9.0
EMERALDS,-1.6734693877551021,0.24,8462.0,0.4231,7.1205889075272415,0.0594192426349367,2341.5755303865253,-8.0
EMERALDS,-1.6734693877551021,0.26,8431.0,0.42155,7.115739286785316,0.05924191190968212,2334.3184390154865,-8.0
EMERALDS,-1.6734693877551021,0.28,8186.0,0.4093,7.067734680221096,0.057911058991138596,2267.9703167944986,-8.0
EMERALDS,-1.6734693877551021,0.3,7756.0,0.3878,6.7593720980576295,0.05737219291588312,2191.7288045590626,-8.0
EMERALDS,-1.6734693877551021,0.32,7555.0,0.37775,6.723619184449697,0.0561825394385297,2134.3999846792535,-8.0
EMERALDS,-1.6734693877551021,0.34,7555.0,0.37775,6.723619184449697,0.0561825394385297,2134.3999846792535,-8.0
EMERALDS,-1.6734693877551021,0.36,7421.0,0.37105,6.7058684670592825,0.05533213212019891,2091.7822020407,-8.0
EMERALDS,-1.6734693877551021,0.38,7310.0,0.3655,6.685178363364735,0.05467318598453059,2058.6421307468177,-8.0
EMERALDS,-1.6734693877551021,0.4,6705.0,0.33525,5.8604741649033825,0.05720526881727616,1865.4581823492024,-8.0
EMERALDS,-1.6734693877551021,0.42,6524.0,0.3262,5.8217088178643905,0.05603165843661376,1818.3710618385785,-8.0
EMERALDS,-1.6734693877551021,0.44,6476.0,0.3238,5.813531935063228,0.055697638478092976,1805.7727795226888,-8.0
EMERALDS,-1.6734693877551021,0.46,6308.0,0.3154,5.77693888144924,0.054596388584411806,1753.8097121417643,-8.0
